City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
247,Esso,RU,2021-05-25 05:15:18,55.9333,158.7,44.94,62,5,3.29
248,Dingle,PH,2021-05-25 05:15:18,10.9995,122.6711,90.18,58,77,9.08
249,Anadyr,RU,2021-05-25 05:15:18,64.75,177.4833,46.9,60,0,24.16
250,Batangafo,CF,2021-05-25 05:15:19,7.3008,18.2833,74.19,73,82,4.56
251,Castro,BR,2021-05-25 05:15:19,-24.7911,-50.0119,43.34,73,92,1.43
252,Banda Aceh,ID,2021-05-25 05:15:19,5.5577,95.3222,85.62,67,99,5.08
253,Magadan,RU,2021-05-25 05:15:19,59.5667,150.8,43.75,68,61,6.64
254,Toktogul,KG,2021-05-25 05:15:20,41.8708,72.9402,69.31,53,50,2.75
255,Makakilo City,US,2021-05-25 05:11:19,21.3469,-158.0858,79.12,69,90,8.05
256,Hay River,CA,2021-05-25 05:15:20,60.8156,-115.7999,33.78,69,20,6.91
257,Mimongo,GA,2021-05-25 05:15:20,-1.6195,11.6068,68.81,98,93,1.32
258,Godfrey,US,2021-05-25 05:15:20,38.9556,-90.1868,75.09,76,1,6.15
259,Kidal,ML,2021-05-25 05:15:21,18.4411,1.4078,88.83,28,11,5.88
260,Bhainsdehi,IN,2021-05-25 05:15:21,21.6467,77.6325,93.49,16,64,14.09
261,Xuddur,SO,2021-05-25 05:15:21,4.1213,43.8894,74.34,68,0,19.13
262,Bowen,AU,2021-05-25 05:15:22,-20.0167,148.2333,76.66,56,36,13.6
263,Antalaha,MG,2021-05-25 05:15:22,-14.9003,50.2788,73.94,70,6,6.42
264,Taoudenni,ML,2021-05-25 05:15:22,22.6783,-3.9836,93.34,21,48,12.03
265,Novo Aripuana,BR,2021-05-25 05:15:22,-5.1206,-60.3797,76.05,83,39,1.63
266,Gazli,UZ,2021-05-25 05:15:23,40.1333,63.45,93.51,11,3,5.1
267,Kedrovyy,RU,2021-05-25 05:15:23,56.1667,91.8167,61.21,45,100,12.15
268,Michigan City,US,2021-05-25 05:14:36,41.7075,-86.895,75.07,53,40,5.75
269,Kumluca,TR,2021-05-25 05:15:23,36.3703,30.2869,81.9,33,4,2.04
270,Opunake,NZ,2021-05-25 05:15:23,-39.4556,173.8583,55.0,65,21,21.3
271,Pangody,RU,2021-05-25 05:15:24,65.85,74.4859,39.56,39,36,5.03
272,Samarai,PG,2021-05-25 05:15:24,-10.6167,150.6667,80.56,65,87,17.98
273,Bontang,ID,2021-05-25 05:15:24,0.1333,117.5,83.19,78,44,7.16
274,Miri,MY,2021-05-25 05:15:25,4.4148,114.0089,91.54,59,40,5.64
275,Upernavik,GL,2021-05-25 05:10:42,72.7868,-56.1549,25.34,73,69,4.68
276,Maniitsoq,GL,2021-05-25 05:15:25,65.4167,-52.9,32.65,81,100,18.59
277,Poum,NC,2021-05-25 05:15:25,-20.2333,164.0167,74.34,62,48,21.12
278,Bulls,NZ,2021-05-25 05:15:07,-40.1667,175.3833,51.42,69,13,11.43
279,Hambantota,LK,2021-05-25 05:15:25,6.1241,81.1185,82.45,79,100,24.76
280,Ukholovo,RU,2021-05-25 05:15:26,53.7929,40.4892,63.25,71,60,7.2
281,Yulara,AU,2021-05-25 05:15:26,-25.2406,130.9889,67.84,26,0,6.91
282,Lavrentiya,RU,2021-05-25 05:15:26,65.5833,-171.0,35.76,80,26,12.59
283,Kamakwie,SL,2021-05-25 05:15:26,9.5,-12.2333,75.27,90,100,3.85
284,Brownsville,US,2021-05-25 05:15:27,25.9018,-97.4975,80.55,86,75,5.99
285,Waipawa,NZ,2021-05-25 05:15:27,-41.4122,175.5153,49.03,76,64,7.54
286,Hervey Bay,AU,2021-05-25 05:15:27,-25.2986,152.8535,75.31,65,26,4.0
287,Port Hardy,CA,2021-05-25 05:15:27,50.6996,-127.4199,48.38,87,75,5.75
288,Toropets,RU,2021-05-25 05:15:28,56.4978,31.6353,51.37,77,47,3.02
289,Ippy,CF,2021-05-25 05:15:28,6.2679,21.2247,70.97,84,10,3.53
290,Laguna,US,2021-05-25 05:15:28,38.421,-121.4238,73.45,57,1,7.0
291,Banyumas,ID,2021-05-25 05:15:29,-7.5142,109.2942,86.09,65,98,1.9
